Name,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPSadj
Todd Helton,17,61.2,46.5,53.9,54.7,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133
Lance Berkman,15,52.1,39.3,45.7,53.5,1879,6491,1146,1905,366,1234,86,1201,0.293,0.406,0.537,0.943,144
Miguel Tejada,16,47.3,36.6,41.6,55,2171,8434,1230,2407,307,1302,85,553,0.285,0.336,0.456,0.791,108
Kevin Youkilis,10,32.6,31.2,31.9,54.7,1061,3749,653,1053,150,618,26,539,0.281,0.382,0.478,0.861,123
Vernon Wells,15,28.5,26.2,27.3,57.9,1731,6642,930,1794,270,958,109,472,0.27,0.319,0.459,0.778,104
Travis Hafner,12,24.8,24.6,24.7,54.7,1183,4058,619,1107,213,731,11,598,0.273,0.376,0.498,0.874,134
Jason Bay,11,24.6,24.6,24.6,53.5,1278,4505,737,1200,222,754,95,636,0.266,0.36,0.481,0.841,121
Michael Young,14,24.6,21.4,23,55,1970,7918,1137,2375,185,1030,90,575,0.3,0.346,0.441,0.787,104
